1000,138
1000,282
1000,372
1000,148
100000,50521
100000,56386
100000,26975
100000,67364
100000,82673
100001,19351
100001,86501
100001,76711
100001,85307
100001,67375
100001,62036
100001,29559
100001,86062
100001,49254
100001,59798
100002,28019
100002,33478
100002,54855
100002,79983
100002,20428
100002,23822
100002,54112
100002,39414
100002,96114
100002,60100
100002,50500
100002,34552
100002,98300
100003,82773
100003,79035
100003,83802
100003,43843
100004,41125
100004,105425
100004,89961
100004,89260
100004,48438
100004,105444
100004,33451
100004,84704
100004,25753
100004,86346
100005,66632
100005,76526
100005,81159
100006,66484
100006,5607
100006,82513
100011,19351
100011,91408
100011,85380
100011,96212
100011,4910
100011,49256
100011,77838
100011,54900
100012,43595
100012,24170
100012,90861
100012,21939
100012,18524
100012,25755
100015,67821
100015,34173
100015,41888
100015,48164
100015,42682
100015,37736
100019,1047
100019,48817
100019,77774
100022,73512
100022,21662
100022,92287
100022,75365
100022,67693
100022,67692
100022,52330
100023,46212
100023,45876
100023,77700
100023,70278
100023,56310
100023,77701
100023,93702
100023,42474
100023,88060
100024,19629
100024,86048
100024,60635
100024,38562
100024,35941
100024,25777
100024,87250
100025,5959
100025,3149
100025,83495
100025,81022
100025,51178
100030,69215
100030,56554
100030,79035
100030,61969
100034,78864
100034,69148
100034,19351
100034,37562
100034,81900
100034,34485
100034,74354
100034,10916
100034,48166
100034,70203
100034,93450
100034,81022
100034,86431
100035,74705
100035,48576
100035,91964
100035,72486
100035,86232
100035,18259
100035,92421
100036,95850
100036,59198
100036,7151
100036,54085
100036,27848
100036,102931
100036,84293
100040,35849
100040,52501
100040,89541
100042,67585
100042,74805
100042,31548
100042,59531
100042,52290
100042,78381
100042,1871
100042,86418
100042,77069
100042,16374
100042,20277
100042,3306
100042,16375
100042,3305
100042,41833
100042,16372
100042,16373
100042,1052
100042,26925
100042,84280
100042,38237
100042,83482
100042,27146
100042,40723
100042,7791
100042,94228
100042,48572
100042,70722
100042,80991
100042,47627
100042,30866
100042,49579
100042,36315
100042,66271
100042,74253
100042,22695
100042,47591
100042,8024
100042,81340
100042,42715
100042,75806
100042,77709
100042,48945
100042,22885
100042,69573
100042,74802
100042,75396
100042,64603
100042,74254
100042,26382
100042,7421
100042,77533
100042,22883
100042,44635
100042,65794
100042,69764
100043,74805
100043,56948
100043,69549
100043,69990
100043,50802
100043,48187
100043,16372
100043,23838
100062,40677
100062,2826
100062,70845
100062,50311
100062,44934
100073,78384
100073,80099
100073,94569
100073,77022
100073,80901
100073,74226
100073,71180
100073,80061
100073,68487
100073,73626
100073,94481
100073,94200
100073,54610
100073,85942
100073,72755
100073,75613
100073,96222
100073,60593
100073,92507
100073,68750
100073,93268
100073,81770
100082,1458
100091,62213
100091,79950
100099,138
100099,83010
100099,179
100099,85544
100099,66001
100099,89156
100099,5324
100099,5850
100099,23596
100099,2351
100099,38178
100099,7349
1001,138
1001,600
1001,303
100100,62536
100100,27440
100100,66644
100101,70590
100101,38909
100101,56993
100101,85924
100101,77161
100101,60465
100101,66212
100101,79940
100101,79941
100101,347
100101,348
100101,61628
100101,79938
100101,48202
100101,73102
100101,81570
100101,94003
100101,72510
100101,52728
100101,81617
100101,66303
100101,75020
100101,74312
100101,80467
100101,84601
100101,90560
100101,67762
100103,52714
100103,44667
100105,81433
100108,81083
100108,57151
100108,105425
100115,48917
100115,64469
100115,89055
100115,20551
100115,19222
100116,91335
100116,28463
100116,89055
100116,43086
100119,42098
100119,22174
100119,44901
100119,45249
100124,86414
100126,39314
100126,90108
100126,11270
100126,53894
100126,75060
100126,74037
100126,11572
